nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT01123031,Oral vs Intravenous and Proton Pump Inhibitor (PPI)for Peptic Ulcer Bleeding (PUB),"A bleeding peptic ulcer remains a serious medical problem with significant morbidity and      mortality. Endoscopic therapy significantly reduces further bleeding, surgery, and mortality      in patients with bleeding peptic ulcers and is now recommended as the first hemostatic      modality for these patients.      In the past few years, adjuvant use of a high-dose proton pump inhibitor (PPI) after      endoscopic therapy has been endorsed in some studies. Laine and Javid et al found that oral      PPI and IV PPI had a similar intragastric pH response in the past two years. Therefore,      whether oral can replace IV in the management of peptic ulcer bleeding is the objective in      this study.      The investigators enrolled 130 patients with active bleeding or nonbleeding visible      vessels(NBVV) in this study. They are randomly assigned as oral lansoprazole or IV nexium      group. All patients receive successful endoscopic therapy with heater probe or hemoclip      placement.      In the lansoprazole group (N=65), 30 mg four times daily is given orally for three days.      Thereafter, the patients receive 30 mg lansoprazole orally daily for two months. In the      nexium group, 160 mg/day continuous infusion is given for three days. Thereafter, the      patients receive 40 mg nexium orally daily for two months.      The primary end point is recurrent bleeding before discharge and within 14 days. At day 14,      volume of blood transfused, number of surgeries performed, and the mortality rates of the two      groups are compared as well.",C0358591;C0030920;C0019080;C0085297,C0030922;C0358591;C0030922;C0444889;C0030920;C0050940;C0050940;C0050940;C0014245;C0019120;C0376636;C0220880;C0018017;C0441587;C0012621;C0543467;C0019080;C0019080;C1704632;C4684790;C0019080;C1552601;C0181173;C0019080;C0033213;C0087111;C0543467;C0087111;C0947630;C0087111;C0939400;C0939400;C0939400;C1552839;C0947630;C0947630;C0182400;C3244317;C3244317;C0005767;C1561538;C1561538;C1320102;C0014245;C0014245;C1561542;C1561542;C1552839;C1552839;C1552839;C0729829;C1547664;C2986535,0,0,0,7,7,0.008562108,0.010699996,0,0
NCT00374101,High Versus Standard Dose of Proton Pump Inhibitors (PPIs) in Peptic Ulcer Bleeding,High intravenous dosage of Proton Pump Inhibitors is not better than standard dosage in      bleeding peptic ulcers successfully treated by endoscopic therapy,C0358591;C0030920;C2828392;C0019080;C4321237,C0358591;C0030920;C2828392;C0019080;C0087111;C4321237;C0014245;C0332155,0,0,0,15,15,0.007907885,0.010497115,0,0
NCT01895218,Treatment of Women After Postpartum Haemorrhage,The primary purpose of this study is to compare the efficacy of IV high single dose infusion      of iron isomaltoside 1000 to standard medical care in women with PPH evaluated as physical      fatigue.,C0087111;C0019080,C2947549;C0496675;C0574032;C2828392;C0015672;C0087136;C0947630;C0220825;C0031809,0,0,1,4,4,0.01350966,0.010470439,0,0
NCT02197039,The Selection Criteria for the Second-look Endoscopy Among Patients With Bleeding Peptic Ulcers,The purpose of this prospective study is to identify risk factors which could predict poor      fading of SRH or early recurrent bleeding of peptic ulcer hemorrhage after successful      endoscopic hemostasis and high-dose PPI infusion. These risk factors will be the selection      criteria for patients who are indicated to receive second-look endoscopy.,C0030920;C0014245;C0019080;C1550655;C4684631,C0030922;C0035648;C0035648;C0740166;C0014245;C0019080;C0574032;C0947630;C0014245;C3858576,0,0,0,2,2,0.008821646,0.010358919,0,0
NCT00690027,San Diego Bleeding Esophageal Varices Study,"In unselected cirrhotic patients with bleeding esophageal varices to compare the influence on      mortality rate, duration of life, quality of life, and economic costs of treatment of:        -  Emergency portacaval shunt, and        -  Emergency and long-term endoscopic sclerotherapy.",C0014867;C0019080;C0947630,C0155789;C0032716;C0518214;C0036435;C0087111;C1546844;C1546844;C0014245;C0332534,0,0,0,36,5.142857143,0.009887833,0.010273032,0,0
NCT02316990,China Survey of Stress Ulcer Bleeding in Critically Ill Neurosurgical Patients,"Stress ulcers or stress-related mucosal disease (SRMD) is defined as ""acute superficial      inflammation lesions of the gastric mucosa induced when an individual is subject to      abnormally elevated physiologic demands.""[1] Studies have shown that SRMD occurred in      75%-100% ICU patients[1]. Gastrointestinal bleeding due to SRMD is an important complication      in critically ill patients. The frequency of clinically important bleeding ranged from 5.3%      to 33%.[2] The mortality in ICU patients with stress related bleeding approaches 50%, which      is much higher than the patients without bleeding (9%). [3] In 1999, the American Society of      Health-System Pharmacists (ASHP) published guidelines on the use of stress ulcer prophylaxis      in medical, surgical, respiratory, and pediatric ICU patients [2]. PPIs and H2RA are widely      used in China current clinical practice for the prevention of stress ulcer bleeding. However,      there is no epidemiology data to show the risk factors for stress ulcer bleeding and the      bleeding rate of Chinese neurosurgical critically ill patients who are usually suffering from      brain trauma, cerebral haemorrhage or brain tumour operation. Information is needed to know      about the characteristics in Chinese critically ill neurosurgical patients.      Objectives of this Non-Interventional Study Primary        1. Primary objective: To estimate the overall incidence of upper gastrointestinal (GI)           bleeding in critically ill neurosurgical patients in China.        2. Main secondary objective             -  To estimate the incidence of upper GI bleeding with clinically significant                complications in critically ill neurosurgical patients in China.             -  To estimate the incidence of any overt upper GI bleeding without clinically                significant complications in critically ill neurosurgical patients in China.             -  To assess time to upper GI bleeding after a cerebral lesion.             -  To investigate potential risk factors associated with upper GI bleeding, and assess                how common certain risk factors occurred in upper GI bleeding patients.             -  To assess the overall incidence of upper GI bleeding in critically ill patients by                different risk factors for upper GI bleeding.             -  To investigate the drugs, the route of administration, the doses and the duration                commonly used for stress ulcer prophylaxis.             -  To investigate the proportion of ICU patients with nasogastric tube, and the                duration of nasogastric tube.      (ICU: Intensive care unit PPIs: Proton pump inhibitors H2RA: H2 receptor antagonist)",C0010340;C2741638;C0019080;C0038951;C1550655,C0017181;C0358591;C2937358;C0085678;C0085678;C0151785;C0221505;C0010340;C0333291;C0333291;C0010340;C0010340;C0184661;C0010340;C0010340;C0010340;C0010340;C1533734;C0085559;C0009566;C0009566;C0021368;C0009566;C0400807;C0699910;C0035648;C0876926;C0006118;C0035648;C0035648;C0035648;C0400807;C0199176;C1561528;C0017181;C0017181;C0017181;C0017181;C0017181;C0017181;C0017181;C0199176;C0162791;C0199176;C0683278;C0543467;C0018017;C0027627;C0018017;C0019080;C0019080;C0019080;C0237607;C0019080;C0019080;C0221198;C0038351;C0038435;C0041582;C0038435;C0038435;C0038435;C0038435;C3245511;C0947630;C0013227;C1273517;C3245479;C1273517;C0042497;C0018017;C2707256;C3653430;C0233492;C4684637;C0233492;C1328956;C0022396;C0205161;C4084912;C2347273;C4084912;C1704324;C1547581;C0856882;C0332534;C0332534;C0543467;C3272565;C0087130;C0031843;C0220644,0,0,0,0,0,0.007862509,0.010198273,0,0
NCT00797641,European Survey of Non-Variceal Upper Gastro Intestinal Bleeding (NVUGIB),The aim of this study is to assess the current management strategies in a pan-European      "real-life" setting to uncover the unmet need in this area: non-variceal gastrointestinal      bleedings.,C0021853;C0019080;C0038951,C0376636;C0679199;C0542559;C0947630;C2707256;C0019080,0,0,0,16,5.333333333,0.009069499,0.01011275,0,0
NCT00393198,Bleeding Pattern and User Satisfaction During Second Consecutive MIRENA® in Contraception and Treatment of Menorrhagia,The purpose of this study is to assess the bleeding pattern during the last 3 months of the      first MIRENA® and the first year of the second MIRENA® use.,C0700589;C0242428;C0025323;C0087111;C0019080;C0591811,C0019080;C0591811;C0591811;C0947630;C1561543;C1561542;C4699190,0,0,0,11,3.666666667,0.007385143,0.010091539,0,0
NCT01475669,Study of Fibrinogen Concentrate (Human) (FCH) to Control Bleeding During Complex Cardiovascular Surgery,"The purpose of this study is to demonstrate that Fibrinogen Concentrate (Human)(FCH) can      reduce the amount of donor blood products needed during complex cardiovascular surgery, and      that it is safe and well tolerated. Subjects in this study will get either a FCH or placebo      infusion during surgery. This will be in addition to the standard treatment, which is donor      blood or blood products. Placebo does not contain any effective medicine.      The study is randomised. This means that the likelihood that subjects will get FCH or placebo      is 50%. To make the comparison between FCH and placebo as fair as possible, the study is      ""double blind"". This means that neither the subjects nor the study doctor will know if FCH or      placebo is administered. If necessary, the study doctor can find out which treatment the      subjects are receiving.",C3887460;C1880310;C0016006;C0019080;C0543467;C0947630;C1564718;C0939261,C0038897;C4684780;C0456388;C0456388;C1880310;C0016006;C0087111;C0574032;C0332149;C0032042;C0543467;C0032042;C0032042;C0032042;C0032042;C0947630;C0947630;C0005767;C0947630;C0947630;C0456909;C0947630;C0947630;C0449878;C0013227;C0939261,0,0,1,7,3.5,0.007664621,0.010065223,0,0
NCT01136590,"Multicenter, Randomized Placebo-controlled Clinical Trial to Evaluate the Effect of Perioperative Use of Tranexamic Acid on Transfusion Requirements and Surgical Bleeding in Major Spine Surgery","Current evidence regarding the efficacy and safety of perioperative administration of      tranexamic acid for antifibrinolysis does not suffice to support its use in major spinal      surgery.      OBJECTIVES: To evaluate the effectiveness of tranexamic acid for decreasing transfusion      requirements and bleeding in this patient population. To evaluate the safety of this      antifibrinolytic agent in the intraoperative and mid-term postoperative period.      METHODS: Multicenter, randomized, double-blind, placebo-controlled clinical trial with      parallel groups. The main outcome measure is intraoperative and postoperative transfusion      requirements; blood loss and safety will also be evaluated. Previous results in other types      of surgery suggest that tranexamic acid reduces transfusion requirements and blood loss.      Hence, the hypothesis of this study is that tranexamic acid will significantly reduce blood      loss in comparison to a placebo in major spine surgery.",C0040613;C1096775;C0005841;C0220825;C0543467;C0019080;C0032042;C0543467;C0037949;C4284141;C2911690;C3897779,C0936233;C0003304;C0040613;C0040613;C0040613;C0040613;C1533734;C4553491;C0920347;C0005841;C0005841;C0005841;C0018017;C0442797;C0019080;C0019080;C0019080;C0543467;C0025663;C0032042;C0543467;C0032042;C0025344;C1552839;C0456909;C0947630;C0005767;C1135564;C1135564;C0220825;C0606665;C4284141;C4284141;C4284141;C3242613;C0016017;C0220825;C0220825;C4554418,0,0,0,3,3,0.007633204,0.010061423,0,0
NCT00573924,Trial of Oral Versus Intravenous Proton Pump Inhibitor on Intragastric pH in Patients With Bleeding Ulcers,Patients with bleeding ulcers identified by endoscopy will be randomly assigned to receive an      acid-blocking drug (called a proton pump inhibitor [PPI]) either by mouth every 3 hours for      24 hours or intravenously (IV) by constant infusion for 24 hours. A pH probe in the stomach      will be used to determine intragastric pH (a measure of the acid production in the stomach)      at baseline and during the 24 hours of therapy. The purpose of the study is to determine if      the continuous intravenous administration of the drug provides better reduction of acid in      the stomach than the oral administration.,C0358591;C0019080;C0041582;C1550655;C0085297,C0021440;C0358591;C0001563;C0333291;C0014245;C4551656;C1552601;C0574032;C0038351;C0038351;C0087111;C0038351;C0182400;C0947630;C0013227;C1273517;C0013227;C1550655;C4699574;C0035150;C1550043;C1444662;C0233660;C0728774;C1555587;C4082977;C4082977,0,0,0,16,16,0.008245324,0.009980039,0,0
NCT01267669,A Trial of Somatostatin With Endoscopic Variceal Ligation (EVL) in Control of Acute Variceal Bleeding,"Background: Efficacy of endoscopic variceal sclerotherapy in achieving initial control of      acute variceal bleeding and five-day haemostasis has been shown to significantly improve when      vasoactive drug is added. However, there is limited data whether addition of somatostatin, to      endoscopic variceal ligation (EVL) improves the efficacy of EVL.      Aim: To compare EVL plus somatostatin versus EVL plus placebo in control of acute variceal      bleeding.      Patients and methods: Consecutive cirrhotic patients with acute variceal bleeding from      esophageal varices were enrolled in the trial. After emergency EVL, patients were randomized      to receive either somatostatin (250 mcg/hr) or placebo infusion. Primary endpoint was      treatment failure within 5 days. Treatment failure was defined as fresh hematemesis =2 hour      after start of therapy or death.",C0037659;C0014245;C0023690;C0019080;C1547229;C1564718,C0014867;C0162643;C0036435;C0037659;C0037659;C0037659;C0740166;C0018926;C1546399;C0087111;C0019080;C0023690;C0019080;C0019080;C4684790;C0574032;C0032042;C0025663;C0032042;C0087111;C1552850;C0011065;C0013227;C3245479;C1561538;C2948600;C2986535;C1550655;C0184511;C4684637;C0014245;C0014245;C0776963;C0018792;C0184511;C3834249,0,0,1,1,1,0.007760114,0.00997864,0,0
NCT00365313,Preventing Recurrent Ulcer Bleeding in Arthritis Patients Using Esomeprazole Plus Celecoxib,The purpose of this study is to compare the effect of Esomeparzole with Placebo in the      Prevention of Recurrent Ulcer Bleeding in Patients Receiving a COX-2 Inhibitor,C0937846;C0003864;C0538927;C0019080;C0041582;C1550655,C1257954;C0199176;C0019080;C0032042;C1518681;C0947630;C0041582;C1550655,0,0,0,36,36,0.007658347,0.009959711,0,0
NCT01125852,Supplementary Angiographic Embolization for Peptic Ulcer Bleeding,"Peptic ulcer bleeding is a common disorder. Despite optimal endoscopic and medical treatment,      there is a high risk of rebleeding and high mortality. In this study the investigators      examine whether combined endoscopic haemostasis and angiographic embolization resolves in a      better outcome than the traditional use of endoscopic haemostasis alone. The study is a      randomised controlled trail.",C0013931;C0030920;C0019080;C0002978;C1947943,C0333291;C0013931;C0740166;C0740166;C0087111;C0332167;C0012634;C3245511;C0947630;C0439044;C0947630;C0000589;C0014245;C0014245;C0014245;C2911690;C0019080;C0002978,0,0,1,3,3,0.007472075,0.009959414,0,0
NCT00708435,Efficacy and Safety Study of BERIPLEX® P/N (Kcentra) Compared With Plasma in Patients With Acute Major Bleeding Caused by Anticoagulant Therapy,"The purpose of this study is to evaluate efficacy, safety and tolerance of BERIPLEX® P/N      (Kcentra) compared with plasma in regard to rapid reversal of coagulopathy induced by      coumarin derivatives in subjects who require immediate correction of INR (International      Normalized Ratio)and to stop an acute major bleeding.",C0003280;C0019080;C3644708;C0087111;C0032105;C0947630;C1547229;C1550655,C0005779;C0220929;C1697779;C0010206;C0019080;C3644708;C0032105;C0947630;C3245501;C0525032;C0606968;C0220825,396,18444,1,62,62,0.009563501,0.00994037,0,0
NCT01591083,The Efficacy of Double Doses of Oral Esomeprazole in Preventing Rebleeding for Patients With Bleeding Peptic Ulcers,"Patients with comorbidities have an increased risk of ulcer re-bleeding, especially within      the 14 days after first bleeding event. Three-day high dose esomeprazole infusion can prevent      peptic ulcer rebleeding after endoscopic therapy. However, the optimal dose of oral      esomeprazole is uncertain, especially for high risky patients. This study is to test whether      a double dose of oral esomprazole could reduce peptic ulcer rebleeding for patients with      Rockall score = 6. Additionally, the second aim of this prospective study was to identify the      selection criteria to predict poor fading and residual major stigmata of recent hemorrhage      (SRH) or early recurrent bleeding after successful endoscopic hemostasis and high-dose PPI      infusion.",C0030920;C0937846;C0019080;C1550655;C0019080,C0009488;C0937846;C0030920;C0937846;C0030920;C0019080;C0740166;C0087130;C0019080;C0019080;C0574032;C0277787;C0019080;C0574032;C0087111;C0041582;C0947630;C0947630;C0392366;C1561538;C0332167;C4699158;C1550655;C0607332;C0014245;C0014245;C4684631;C0019080;C0019080;C3858576;C3534109,0,0,0,7,3.5,0.009334433,0.009930817,0,0
NCT01897220,Perioperative Ischemia Versus Perioperative Bleeding During Non-cardiac Surgery in Cardiac Patients,"The aim of the study is to analyze the present use of antithrombotic therapy on a large      cohort of consecutive cardiacs undergoing non-cardiac surgery. If even and for how long the      medication was discontinued, if any other antithrombotic therapy was used in the      perioperative period and prevalence of perioperative complications - especially ischemic or      bleeding. These complications will be correlated with the pattern of antithrombotic therapy      administration. Working hypothesis is to obtain a large database of unselected cohort of      consecutive patients for mapping of this practically important, but in the evidence-based      medicine, still neglected problem.",C0022116;C0019080;C0018787;C0543467;C0018787;C1550655,C1533734;C0009566;C0009566;C0013227;C0521874;C0019080;C0242356;C0150312;C0087111;C0018787;C0543467;C0087111;C0087111;C3858752;C0033213;C0025344;C0947630;C1273517;C0018787;C1444662;C4084912;C0022116;C0013227;C4699190,0,0,0,0,0,0.008665956,0.0099163,0,0
